type,law_document_id,detail
metadata_or_hash_conflict,b6f104e3b3130ec316834fc7f6bab1fdf5de195683723744dfe8fe5f76c8e19f,document_version_id=d38179623dd8e8bf12894c1f7de31b51957f948c86a2dfaed017dcb49745b228
metadata_or_hash_conflict,b592e1989dde37f42ff0b88ade8635c405d33fccae3888c5088179c87ca361be,document_version_id=8b68a3e173c614280282029420c15990cac531a8cad0d6d89f8b8d418dd11fe8
metadata_or_hash_conflict,ae1de9e250511d398fd6b7b6e710c4c771cb863108b06067e623e3611be48bbc,document_version_id=702a54f8b4f989f099071a202fb5a05be9bc8a6edcb791f717708a92b048a87f
metadata_or_hash_conflict,4ea104c8066db44d326368b0dee2d00404d984e96856d06f1d4e6f5dbba2b227,document_version_id=3fdf2d3a2c225fb2beffe9daf3f51a83257fb8ffcf98a5fd2441262c4462ff1b
metadata_or_hash_conflict,68a35df004c28c066ecf426474162c3dfc9f7bbb2bf24bbceb7b3e85bf9e04d2,document_version_id=f877d1bb6cfeb4621370bff58020fc43dcc116d14222563b1a0b44d4eb917964
metadata_or_hash_conflict,1142afd546a1ba0d3dfbc7ca60c8d8a46286428a396930254d335889e4c9e672,document_version_id=a1fd1a77f3322df6202f553aba8734d21c1bf08ef168afde520d7f7b060b2919
metadata_or_hash_conflict,8ebfc924cf653e869502c83491c5d1c41e948215295b9320c083b7b462d3f279,document_version_id=ef5b2ab549cf0fca9ffeea13e79c6603af1f6f8e4c169afd3048ae96d5919ebf
metadata_or_hash_conflict,4fa2ab292377c527b957eb506666e4be7e281a50424823a368b547e6047ad696,document_version_id=208a732570499decceb7433f48043941bb7d75332ba46d0648980dc8c4b2c209
metadata_or_hash_conflict,0e8db58528217cb66d14569f6e803d5b22e7b0ab6e04b7b09718b45dfc3fde9e,document_version_id=70a550e25879e6cf8968ce0dd2987fdd8e1cb468ce9312c3cc0c2a0ce89c8d8a
metadata_or_hash_conflict,97f2d762c40394d5a53db1c25f833ca0845134d6dc76f972d349d6e2f36f6495,document_version_id=d48855aa5ab25df42fdd9890759296b9b4a08f94b11062561f330a5579feb0da
metadata_or_hash_conflict,b3bd14d07958c0a26c10094de7e5485cb7b691512905609311972edf4c30b545,document_version_id=20abcad7bd52b71fa981201c51df38b8bd7b8d340156ffbc80174053f7d61270
metadata_or_hash_conflict,a1c46c9d400e3643b3a0495f9339ca2a4f3b841784bf5478a2c37a5a2ed52431,document_version_id=657ae04ff85009b36797a6cae0490d7d62e28eaf913efb213d273345189c9714
metadata_or_hash_conflict,b894b4917a24f2078321d386e8ea8782716fb8ccdf5f3c39e037278d91f347de,document_version_id=8d63b6563da84937713fd2f8d13e271b9ef0a02a9249861e608d94630c3ed76c
metadata_or_hash_conflict,f54d77b24f0897e38a7d9aaa6e12cc82974c1e6356a1476c03700f2a6fb8071e,document_version_id=74ec49d8d3b033221f90634c468aa3f60f1f82bc0434fe9d63b1a301d9035afa
metadata_or_hash_conflict,55c6423f7e54a8932e0646ba0a6df098bc938755e654024e96e1fac2bc8fbeae,document_version_id=d3c75a2306e874894b749ffe3dc167ae8fef3ffe77d6a9048756e259e79d4233
metadata_or_hash_conflict,903afc1edabae388e678c46e1d3001e99efe7e452662141f5a932b06306f8f37,document_version_id=1ce585441929bdac5035c590e3e19eb07a0f8bacc4b471c6460bbea6b420fd2e
metadata_or_hash_conflict,2c10bc0316c102347d60ea31ff80b8fd1ba24328bb3378a679008d701e07f600,document_version_id=84c3014aa03fa87f3fba0a8decc4c65763068fc564cd1da29111fa6a3977dcf5
metadata_or_hash_conflict,34e294215c882adc4036fb7e76755429e0313b9c12f03858d648718145c5f22f,document_version_id=a84bd129d06c0897ad9535853bcba6311ebaf66394ebd78c837b9aeffa5faa8a
metadata_or_hash_conflict,41fe8d4e5b6984f562a1f07c8c2a2360c9691e9c155c5f5baeb9a946dadc30c7,document_version_id=28211e850eaf0dfc722555714cf3158d82e4c6a7c08a87e4e0da398e8f412843
metadata_or_hash_conflict,48b382580d85dfb628cd0f96f05e378d3a85facc6d26d98152ad397246094877,document_version_id=6c8f1e4b0e4146304b45fc93a33338e69ad42eb21292c8446714d6c7d5bb17d9
